btract,lotarea,bldgarea,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea
2161.0,113110.0,152487.0,152487.0,0.0,0.0,0.0,0.0,102538.0,35930.0,14019.0
2162.0,5250.0,4870.0,4870.0,0.0,0.0,0.0,0.0,0.0,4870.0,0.0
2165.0,221047.0,225534.0,225534.0,0.0,13640.0,0.0,0.0,44737.0,156142.0,11015.0
2167.0,267056.0,189473.0,189473.0,0.0,6309.0,375.0,0.0,132295.0,28264.0,0.0
2169.0,7838.0,15000.0,15000.0,0.0,0.0,500.0,0.0,14500.0,0.0,0.0
2184.0,2780.0,2100.0,2100.0,0.0,0.0,0.0,0.0,2100.0,0.0,0.0
2185.0,161553.0,162988.0,162988.0,0.0,810.0,2501.0,13128.0,96449.0,50100.0,0.0
219.0,1748244.0,2171337.0,2152496.0,0.0,96002.0,500.0,225496.0,843452.0,925086.0,0.0
2194.0,20000.0,14000.0,14000.0,0.0,0.0,0.0,0.0,14000.0,0.0,0.0
22.0,6866.0,4200.0,4200.0,0.0,0.0,0.0,0.0,0.0,4200.0,0.0
2200.0,64922.0,78392.0,78392.0,0.0,5346.0,0.0,1100.0,37504.0,34442.0,0.0
2201.0,190000.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0
2206.01,13081.0,14277.0,11237.0,3040.0,1560.0,1560.0,0.0,0.0,2462.0,0.0
2209.0,12656.0,26000.0,26000.0,0.0,0.0,0.0,0.0,26000.0,0.0,0.0
2210.02,16599.0,20201.0,20201.0,0.0,0.0,0.0,0.0,0.0,20201.0,0.0
2213.02,32228.0,35677.0,35677.0,0.0,0.0,0.0,0.0,7000.0,22150.0,6527.0
2218.0,69495.0,59998.0,59998.0,0.0,15466.0,0.0,7466.0,0.0,29600.0,7466.0
2219.0,73101.0,200646.0,200646.0,0.0,5000.0,0.0,41500.0,153746.0,0.0,400.0
2220.0,90128.0,93027.0,93027.0,0.0,1300.0,0.0,5320.0,81407.0,5000.0,0.0
2227.01,14000.0,22500.0,22500.0,0.0,0.0,0.0,0.0,22500.0,0.0,0.0
223.0,8278.0,12516.0,12516.0,0.0,0.0,0.0,0.0,1334.0,11182.0,0.0
2230.0,1950.0,1904.0,1904.0,0.0,0.0,0.0,0.0,1904.0,0.0,0.0
2231.0,89601.0,133880.0,133880.0,0.0,3975.0,24604.0,0.0,59673.0,45628.0,0.0
2232.0,27024.0,19493.0,19493.0,0.0,0.0,13720.0,0.0,5773.0,0.0,0.0
2238.0,250875.0,371593.0,371593.0,0.0,57853.0,10500.0,0.0,303240.0,0.0,0.0
2239.0,32202.0,70150.0,70150.0,0.0,0.0,0.0,0.0,70150.0,0.0,0.0
2240.0,2375.0,10625.0,10625.0,0.0,0.0,0.0,0.0,10625.0,0.0,0.0
2241.0,12500.0,25000.0,25000.0,0.0,0.0,0.0,0.0,25000.0,0.0,0.0
2244.0,46272.0,37342.0,37342.0,0.0,4260.0,3620.0,5262.0,12540.0,11660.0,0.0
2247.0,184538.0,6000.0,6000.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0
2251.0,10000.0,20000.0,20000.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0
2252.0,4455.0,5996.0,4996.0,1000.0,0.0,2996.0,0.0,2000.0,0.0,0.0
2253.0,3939.0,3939.0,3939.0,0.0,0.0,0.0,0.0,3939.0,0.0,0.0
227.02,132401.0,131979.0,131979.0,0.0,7200.0,2788.0,0.0,19500.0,95516.0,0.0
2274.02,3690.0,5500.0,4172.0,1328.0,0.0,486.0,0.0,3686.0,0.0,0.0
2277.0,11912.0,17572.0,17572.0,0.0,1000.0,3400.0,0.0,13172.0,0.0,0.0
2279.0,5917.0,8163.0,8163.0,0.0,0.0,0.0,0.0,8163.0,0.0,0.0
228.0,109868.0,81055.0,81055.0,0.0,1440.0,0.0,0.0,47715.0,31900.0,0.0
2283.0,12500.0,12500.0,12500.0,0.0,0.0,0.0,0.0,12500.0,0.0,0.0
2284.0,53394.0,34457.0,34457.0,0.0,1925.0,1000.0,5908.0,10995.0,14629.0,0.0
2285.0,21500.0,10200.0,10200.0,0.0,0.0,0.0,0.0,10200.0,0.0,0.0
2296.0,680216.0,417386.0,417386.0,0.0,5503.0,0.0,8200.0,101421.0,302262.0,0.0
231.0,147610.0,137444.0,136794.0,650.0,8875.0,2325.0,11945.0,102566.0,7350.0,3733.0
2326.0,9875.0,6372.0,6372.0,0.0,0.0,0.0,0.0,0.0,6372.0,0.0
233.0,62269.0,63296.0,63296.0,0.0,0.0,0.0,0.0,58516.0,4780.0,0.0
2338.0,60000.0,22383.0,22383.0,0.0,0.0,0.0,0.0,22383.0,0.0,0.0
2342.0,16592.0,7584.0,7584.0,0.0,0.0,0.0,0.0,4800.0,2784.0,0.0
2348.0,4507.0,4500.0,4500.0,0.0,0.0,0.0,0.0,4500.0,0.0,0.0
235.0,100181.0,166264.0,166264.0,0.0,4500.0,0.0,0.0,43209.0,95555.0,0.0
2358.0,7900.0,7900.0,7900.0,0.0,0.0,0.0,0.0,7900.0,0.0,0.0
2363.0,8360.0,7344.0,7344.0,0.0,0.0,0.0,0.0,7344.0,0.0,0.0
2373.0,2316.0,2267.0,2267.0,0.0,0.0,0.0,2267.0,0.0,0.0,0.0
2375.04,38631.0,48224.0,48224.0,0.0,0.0,0.0,0.0,21884.0,7500.0,18840.0
2379.0,19603.0,9967.0,9967.0,0.0,0.0,0.0,0.0,0.0,9967.0,0.0
2380.0,11253.0,7028.0,7028.0,0.0,0.0,0.0,0.0,7028.0,0.0,0.0
2383.02,20732.0,22715.0,22715.0,0.0,2766.0,0.0,0.0,4984.0,14965.0,0.0
2385.0,61226.0,76262.0,76262.0,0.0,0.0,0.0,0.0,43002.0,0.0,33260.0
2387.0,17835.0,17700.0,17700.0,0.0,0.0,0.0,0.0,17700.0,0.0,0.0
2390.0,13516.0,4475.0,2885.0,1590.0,0.0,0.0,0.0,1355.0,0.0,0.0
2391.0,2000.0,700.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0
2395.0,108919.0,132304.0,132304.0,0.0,0.0,0.0,13825.0,48686.0,60310.0,9483.0
2397.0,10500.0,22530.0,22530.0,0.0,0.0,0.0,0.0,22530.0,0.0,0.0
2405.02,5021.0,2195.0,2195.0,0.0,0.0,0.0,0.0,945.0,1250.0,0.0
2406.0,8925.0,8590.0,8590.0,0.0,0.0,0.0,0.0,8590.0,0.0,0.0
2411.0,36500.0,61500.0,61500.0,0.0,0.0,0.0,0.0,34000.0,20000.0,7500.0
2414.0,286300.0,217451.0,217451.0,0.0,11524.0,4900.0,540.0,129414.0,71073.0,0.0
2418.0,92002.0,68063.0,68063.0,0.0,6600.0,0.0,7747.0,46000.0,7716.0,0.0
2425.0,33000.0,40708.0,10468.0,0.0,0.0,0.0,0.0,8518.0,0.0,1950.0
2429.01,2063.0,2050.0,2050.0,0.0,0.0,0.0,0.0,2050.0,0.0,0.0
243.0,9950.0,49070.0,47820.0,1250.0,1250.0,0.0,0.0,46570.0,0.0,0.0
2434.0,55751.0,54985.0,54985.0,0.0,0.0,0.0,0.0,26750.0,28235.0,0.0
2449.01,1552.0,1500.0,1500.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0
2451.01,77382.0,90295.0,83795.0,0.0,0.0,0.0,1250.0,40317.0,42228.0,0.0
2456.0,938816.0,259043.0,259043.0,0.0,17855.0,0.0,0.0,48085.0,128143.0,6500.0
2462.01,111453.0,109064.0,99064.0,0.0,2676.0,0.0,1200.0,76130.0,14358.0,0.0
2462.02,293623.0,285355.0,277075.0,0.0,16749.0,2250.0,7144.0,105825.0,142637.0,2470.0
2484.0,98593.0,86612.0,86612.0,0.0,1800.0,0.0,3276.0,33214.0,48322.0,0.0
251.0,450253.0,481424.0,481424.0,0.0,7369.0,0.0,0.0,144631.0,194027.0,3887.0
2516.0,39403.0,17920.0,16193.0,1727.0,4265.0,0.0,1800.0,6228.0,3900.0,0.0
252.0,149927.0,126943.0,126943.0,0.0,1111.0,0.0,0.0,28365.0,97467.0,0.0
259.02,26141.0,43146.0,43146.0,0.0,0.0,0.0,0.0,43146.0,0.0,0.0
260.0,15565.0,15273.0,15273.0,0.0,0.0,0.0,0.0,10564.0,4709.0,0.0
263.0,342681.0,496044.0,496044.0,0.0,16650.0,26726.0,10821.0,244997.0,182850.0,14000.0
265.0,19205.0,26681.0,26681.0,0.0,2000.0,7875.0,0.0,13775.0,750.0,2281.0
267.0,12982.0,32310.0,32310.0,0.0,750.0,0.0,0.0,29424.0,2136.0,0.0
269.0,4683.0,11200.0,8400.0,2800.0,2800.0,0.0,0.0,5600.0,0.0,0.0
271.0,34667.0,32167.0,32167.0,0.0,4000.0,0.0,0.0,28167.0,0.0,0.0
273.0,27843.0,38767.0,38767.0,0.0,0.0,0.0,0.0,38767.0,0.0,0.0
276.0,2500.0,2500.0,2500.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0
279.0,10541.0,10550.0,10550.0,0.0,550.0,0.0,0.0,0.0,10000.0,0.0
283.0,105898.0,86573.0,86573.0,0.0,5884.0,0.0,0.0,80689.0,0.0,0.0
285.0,20000.0,20000.0,20000.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0
289.0,6000.0,4557.0,3290.0,0.0,0.0,0.0,0.0,1375.0,1915.0,0.0
290.0,1727608.0,939627.0,939627.0,0.0,74585.0,0.0,0.0,329159.0,535883.0,0.0
292.0,11820.0,4768.0,4768.0,0.0,0.0,0.0,0.0,4768.0,0.0,0.0
293.0,5749130.0,3753524.0,3752599.0,925.0,137648.0,4325.0,32150.0,1354332.0,2195503.0,25105.0
296.0,426068.0,298688.0,298688.0,0.0,21678.0,0.0,9760.0,58840.0,189610.0,3000.0
298.0,73154.0,66881.0,66881.0,0.0,7780.0,0.0,0.0,0.0,59101.0,0.0
31.0,4687.0,16000.0,16000.0,0.0,0.0,2000.0,0.0,14000.0,0.0,0.0
3101.0,423438.0,542393.0,541143.0,1250.0,40894.0,12325.0,20332.0,183170.0,276422.0,8000.0
31070.0,431305.0,279162.0,279162.0,0.0,0.0,0.0,0.0,0.0,279162.0,0.0
31078.0,783219.0,710380.0,609900.0,0.0,10700.0,2120.0,0.0,398558.0,198522.0,0.0
31098.0,2670040.0,2056307.0,2056307.0,0.0,142870.0,0.0,7070.0,436934.0,1416958.0,51387.0
3110.0,67899.0,86072.0,84172.0,0.0,21690.0,380.0,1900.0,5320.0,54882.0,0.0
31104.0,711120.0,846199.0,846199.0,0.0,11000.0,98900.0,0.0,283579.0,452720.0,0.0
31116.0,822999.0,737962.0,737962.0,0.0,11762.0,40250.0,14755.0,538783.0,132412.0,0.0
31120.0,2188.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0
31124.0,15800.0,11894.0,11894.0,0.0,0.0,0.0,0.0,0.0,11894.0,0.0
31126.0,4000.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,0.0
31132.0,95590.0,87369.0,65369.0,0.0,0.0,0.0,2200.0,0.0,63169.0,0.0
31134.0,93600.0,65955.0,65955.0,0.0,0.0,0.0,0.0,30855.0,35100.0,0.0
31142.01,1976.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0
31144.0,556284.0,523074.0,523074.0,0.0,35103.0,8901.0,9000.0,161121.0,250156.0,58793.0
31146.0,1500.0,1500.0,1500.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0
31150.0,39833.0,31015.0,31015.0,0.0,280.0,0.0,2500.0,25835.0,2400.0,0.0
31156.0,23864.0,28950.0,28950.0,0.0,0.0,0.0,0.0,28950.0,0.0,0.0
31166.0,22515.0,27090.0,25200.0,1890.0,0.0,0.0,0.0,15635.0,9565.0,0.0
31168.0,20155.0,24670.0,22910.0,1760.0,0.0,0.0,0.0,12430.0,10480.0,0.0
3117.0,213576.0,235901.0,230906.0,0.0,8053.0,4850.0,6945.0,60865.0,135186.0,15007.0
31170.0,23264.0,27076.0,27076.0,0.0,0.0,0.0,10000.0,17076.0,0.0,0.0
31172.02,5350.0,13500.0,13500.0,0.0,0.0,0.0,0.0,13500.0,0.0,0.0
31174.0,12500.0,12500.0,12500.0,0.0,0.0,0.0,0.0,7500.0,5000.0,0.0
31176.01,11788.0,4551.0,4551.0,0.0,0.0,0.0,0.0,0.0,4551.0,0.0
31176.02,3008.0,2860.0,2860.0,0.0,0.0,0.0,0.0,0.0,2860.0,0.0
31178.0,21561.0,14616.0,14616.0,0.0,0.0,0.0,0.0,14616.0,0.0,0.0
3118.0,116403.0,153453.0,153453.0,0.0,3665.0,32135.0,0.0,3200.0,112853.0,1600.0
31182.01,15661.0,17003.0,17003.0,0.0,4029.0,0.0,0.0,0.0,12974.0,0.0
31182.02,26450.0,28550.0,28550.0,0.0,0.0,0.0,0.0,28550.0,0.0,0.0
31184.0,49940.0,46550.0,46550.0,0.0,0.0,9100.0,0.0,0.0,37450.0,0.0
3119.0,939646.0,1138035.0,1136035.0,2000.0,24540.0,12890.0,2520.0,302858.0,778643.0,0.0
31190.0,16914.0,21915.0,21915.0,0.0,2700.0,0.0,0.0,4900.0,14315.0,0.0
31192.0,53733.0,110443.0,109323.0,0.0,1000.0,15227.0,0.0,81660.0,11436.0,0.0
31196.0,7003.0,6000.0,6000.0,0.0,1000.0,0.0,0.0,0.0,5000.0,0.0
31198.0,90444.0,93235.0,87535.0,5700.0,2779.0,10298.0,0.0,63596.0,8762.0,2100.0
3120.0,131821.0,162189.0,162189.0,0.0,10614.0,12278.0,5420.0,41350.0,91183.0,1344.0
3121.0,120191.0,119028.0,119028.0,0.0,2600.0,0.0,5000.0,56489.0,54939.0,0.0
3122.0,53745.0,51633.0,51633.0,0.0,3893.0,7500.0,0.0,0.0,40240.0,0.0
31237.0,386603.0,391631.0,391631.0,0.0,28192.0,1400.0,9000.0,233010.0,120029.0,0.0
3126.0,14389.0,16201.0,15109.0,1092.0,0.0,0.0,0.0,2999.0,12110.0,0.0
3127.0,154000.0,199336.0,199336.0,0.0,6280.0,0.0,0.0,20000.0,165185.0,7871.0
313.0,6900.0,7650.0,7650.0,0.0,0.0,0.0,0.0,7650.0,0.0,0.0
3131.0,2375.0,4625.0,2375.0,2250.0,0.0,0.0,0.0,2375.0,0.0,0.0
3133.0,5153.0,6563.0,6563.0,0.0,0.0,0.0,0.0,6563.0,0.0,0.0
3135.0,51500.0,56000.0,56000.0,0.0,5000.0,0.0,0.0,0.0,51000.0,0.0
3139.0,2025.0,2625.0,2625.0,0.0,1125.0,0.0,0.0,1500.0,0.0,0.0
3141.0,16434.0,29539.0,23855.0,0.0,0.0,0.0,0.0,23855.0,0.0,0.0
3143.0,93780.0,99513.0,99513.0,0.0,7948.0,1960.0,0.0,53603.0,36002.0,0.0
3145.0,76815.0,87259.0,85809.0,1450.0,9486.0,448.0,2009.0,26244.0,42622.0,5000.0
3147.0,5008.0,12000.0,10000.0,2000.0,0.0,0.0,0.0,10000.0,0.0,0.0
315.0,16515.0,26138.0,23918.0,2220.0,2500.0,0.0,0.0,11178.0,10240.0,0.0
31502.0,41723.0,64232.0,64232.0,0.0,1500.0,0.0,6384.0,37548.0,18800.0,0.0
3151.0,6615.0,14358.0,11372.0,2986.0,593.0,0.0,900.0,9879.0,0.0,0.0
3160.0,7900.0,27464.0,27464.0,0.0,0.0,0.0,0.0,0.0,27320.0,144.0
3161.0,15120.0,74400.0,74400.0,0.0,0.0,0.0,0.0,74400.0,0.0,0.0
3163.0,13833.0,15102.0,15102.0,0.0,0.0,0.0,0.0,5794.0,9308.0,0.0
3169.0,23438.0,4200.0,4200.0,0.0,0.0,0.0,0.0,4200.0,0.0,0.0
3171.0,2550.0,4500.0,2550.0,1950.0,0.0,0.0,0.0,0.0,2550.0,0.0
3174.0,2581.0,2900.0,2900.0,0.0,580.0,0.0,0.0,2320.0,0.0,0.0
3176.0,17488.0,7380.0,7380.0,0.0,0.0,0.0,0.0,0.0,7380.0,0.0
3178.0,11000.0,11829.0,13634.0,5642.0,0.0,2919.0,0.0,9136.0,0.0,1579.0
318.0,6523178.0,9569913.0,9537471.0,0.0,74106.0,18736.0,1800.0,3380253.0,6046095.0,5405.0
3180.0,4000.0,3976.0,3976.0,0.0,0.0,0.0,0.0,3976.0,0.0,0.0
3183.0,7000.0,31920.0,31920.0,0.0,0.0,0.0,0.0,0.0,31920.0,0.0
3187.0,3162.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0
3188.0,2500.0,4293.0,2500.0,1793.0,0.0,0.0,575.0,1925.0,0.0,0.0
3190.0,4000.0,4000.0,4000.0,0.0,0.0,0.0,0.0,2000.0,2000.0,0.0
3191.0,130633.0,134224.0,134224.0,0.0,1000.0,0.0,4557.0,45475.0,69192.0,14000.0
