btract,lotarea,bldgarea,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea
1146.01,514889.0,2861779.0,539005.0,2319045.0,182883.0,260439.0,32413.0,10148.0,0.0,49615.0
1146.02,753612.0,5310608.0,534605.0,4755376.0,23318.0,237507.0,150134.0,0.0,0.0,123646.0
1147.0,462238.0,3268301.0,1738771.0,1529530.0,3296.0,46276.0,191084.0,2253.0,0.0,1495862.0
1148.01,336977.0,2916619.0,594973.0,2321646.0,69299.0,247802.0,133989.0,0.0,0.0,135134.0
1148.02,817090.0,5956872.0,921109.0,5013026.0,157207.0,319050.0,65540.0,22711.0,4284.0,352317.0
1149.0,1299862.0,7605304.0,2928127.0,4925046.0,683700.0,220639.0,240899.0,19579.0,0.0,1763310.0
115.01,2187246.0,10632779.0,5210804.0,5033957.0,3486920.0,804154.0,224243.0,39886.0,0.0,257394.0
115.02,1503329.0,15757802.0,8870394.0,5647344.0,7527796.0,734131.0,73129.0,84223.0,0.0,338115.0
1150.01,317824.0,2955372.0,327896.0,2625756.0,85439.0,74153.0,9766.0,1025.0,0.0,157513.0
1150.02,814502.0,7037656.0,933336.0,6094725.0,190202.0,105004.0,100819.0,0.0,0.0,537152.0
1151.0,3032241.3,11907652.0,2862779.0,8714721.0,492132.0,211526.0,646769.0,1384.0,0.0,1510968.0
1152.0,1586150.0,4399663.0,791549.0,3512882.0,61524.0,56709.0,282117.0,2500.0,105066.0,280545.0
1153.0,1172907.0,9227642.0,2429418.0,6776264.0,1169443.0,551103.0,170883.0,3051.0,0.0,530282.0
1154.0,1375892.0,8426601.0,1282350.0,7368134.0,144791.0,411569.0,420209.0,31645.0,40642.0,229838.0
1155.0,2750195.0,8161895.0,997954.0,7161258.0,72269.0,173721.0,568822.0,480.0,0.0,182662.0
1156.01,487643.0,3464746.0,844360.0,2535094.0,112526.0,200343.0,172407.0,31537.0,0.0,327547.0
1156.02,1228132.0,2786537.0,1333173.0,1453363.0,64454.0,9377.0,43062.0,4160.0,0.0,1212120.0
1157.0,1280284.725,8456391.0,775633.0,7552877.0,159107.0,331879.0,63040.0,14801.0,0.0,183742.0
